3321,1,cabinet,M2_Noun_single_3syll_24,F1_Noun_single_3syll_24,0,0,0,target,287718803,247635181,3191120,4675954,33723657,204687544
3322,1,carpet,M1_Noun_phrase_2syll_41,F1_Noun_phrase_2syll_41,0,0,0,target,286018523,316629386,197727128,122500636,9545845848,228523927
3323,1,carpet,M2_Noun_single_2syll_41,F1_Noun_single_2syll_41,0,0,0,target,232815364,9545845848,311079986,50493080,212257003,73677388
3324,2,carpet,M2_Noun_transitiveend_130,F2_Noun_transitiveend_130,0,0,0,target,216801100,229439167,12097798,291064715,161138762,121805014
3325,1,carpet,M1_Noun_predicative_76,F1_Noun_predicative_76,0,0,0,target,232815364,9545845848,311079986,50493080,212257003,73677388
3326,1,carpet,M2_Noun_attributive_76,0,0,0,0,target,232815364,9545845848,311079986,50493080,212257003,73677388
3327,1,ceiling,M1_Noun_single_2syll_17,F2_Noun_single_2syll_17,0,0,0,target,95775232,301132904,8415454,103256024,78006022,102143167
3328,1,ceiling,F2_Noun_phrase_2syll_17,M1_Noun_phrase_2syll_17,0,0,0,target,95775232,301132904,103256024,78006022,102143167,106637366
3329,1,ceiling,F2_Noun_predicative_34,M1_Noun_predicative_34,0,0,0,target,95775232,751659354,78006022,73677388,186442634,165751670
3330,1,ceiling,F1_Noun_attributive_42,M3_Noun_attributive_42,0,0,0,target,95775232,751659354,78006022,73677388,186442634,165751670
3331,2,child,M2_Noun_transitivebeg_43,F2_Noun_transitivebeg_43,0,0,0,target,41145079,109044230,296068706,251619766,330972647,0
3332,2,child,M2_Noun_transitivePP_111,F2_Noun_transitivePP_111,0,0,0,target,207034693,263865977,411809578,27368260,248972908,398726587
3333,1,child,F2_Noun_phrase_1syll_55,M1_Noun_phrase_1syll_55,0,0,0,target,153350132,252721840,38230510,80317405,69539644,32511024
3334,1,child,M1_Noun_predicative_102,F1_Noun_predicative_102,0,0,0,target,30524832,252721840,38230510,80317405,69539644,211296514
3335,1,child,F2_Noun_single_1syll_55,M1_Noun_single_1syll_55,0,0,0,target,153350132,252721840,38230510,80317405,69539644,32511024
3336,1,child,M2_Noun_attributive_102,0,0,0,0,target,30524832,252721840,38230510,80317405,69539644,211296514
3337,2,children,M2_Noun_transitivebeg_66,F2_Noun_transitivebeg_66,0,0,0,target,45589032,23479177,146137661,271214891,209477950,19178037
3338,1,children,F2_Noun_single_2syll_7,LI_2syll_Noun_m1_007,0,0,0,target,50495386,23479177,41111999,3344491,40214306,124451737
3339,1,children,F2_Noun_phrase_2syll_7,M1_Noun_phrase_2syll_7,0,0,0,target,50495386,23479177,41111999,3344491,40214306,124451737
3340,1,children,M1_Noun_predicative_137,F1_Noun_predicative_137,0,0,0,target,260971778,23479177,309725183,136231922,229226074,0
3341,1,children,M2_Noun_attributive_137,0,0,0,0,target,260971778,23479177,309725183,110639576,136231922,229226074
3342,2,clock,M1_Noun_intransitivePPend_8,F2_Noun_intransitivePPend_8,0,0,0,target,234886804,196274444,310809407,290237021,201034253,228118633
3343,1,clock,F2_Noun_phrase_1syll_24,M1_Noun_phrase_1syll_24,0,0,0,target,56321485,94006342,24704315,65489365,46791345,308789171
3344,1,clock,F2_Noun_predicative_14,M1_Noun_predicative_14,0,0,0,target,56321485,94006342,228626515,65489365,46791345,65987226
3345,1,clock,F2_Noun_single_1syll_24,M1_Noun_single_1syll_24,0,0,0,target,56321485,94006342,24704315,65489365,46791345,659865412
